,X,votes.funny,votes.useful,votes.cool,user_id,review_id,stars,date,text,type,business_id
58869,58869,1,0,0,tqsK6xVrPBBu_l8JqnY7Xw,w5ZmGDuDrcQoJYWhITg66Q,3,2/23/2014,"Don't order sushi here. It's expensive and taste like holes. The wonton nacho is good but eat it fast because it gets soggy very fast, like too fast. I like the wings but too little for what they charge. Don't order pho either unless you never had Vietnamese noodles before then it probably tastes ok. But to everyone else that has, don't do it. If you've read that the sushi is good by others, they are probably friends of the owner or something because, really? 5 stars for this sushi is crazy talk. Service is good and some of the other apps are good. Katsu chicken is good I order it with slaw and brown rice.",review,c0RSs2KYK5Y-ZlSrNq9LyA
100693,100693,0,0,0,tEKNyp5s2D42y7Iz5cIWUw,#NAME?,5,8/11/2014,"I have nothing to compare this too as I've never eaten Vietnamese food ever. I've also never tried pho. Stopped here for lunch on a whim and it was delicious! The place was packed (good sign) and my husband and I got the sampler thing (pho, egg and spring roll). It was all yummy although we had no idea what to do with all the extra - the sauces and things that came on the side- we needed a tutorial! We will be back!!",review,L_MtTn4IUBTmQtqqM2iFqA
119274,119274,0,2,0,wM32gNcp_GtJypM7iZKIcg,_PWOY18WI_ZAgUtydJYs3A,5,4/9/2013,"The first thing you will notice here is Justina. She is warm, friendly, and, if you show up alone, she will sit at your table and get to know you. I had never had Vietnamese food before, so couldn't tell what to order. Her recommendations were the Vietnamese egg roll, Spring roll, and the Black Pepper Shrimp with garlic toast. The first two were good. Although, my pallet did need to get used to the Spring roll, because I did not expect it to be a cool dish, I thought it was delicious. 
My favorite? The black pepper shrimp. It had the perfect spicing between the garlic on the bread and a little bit of cilantro, I definitely wanted more. 
Highly Recommended!!!",review,UIGFrEcoDsw05I1UOrxdOA
276507,276507,0,0,0,mzvGk6O3JgAXlSrFrW6FRA,2eYu48EBkrSd4KcltKp-pA,5,5/6/2015,"First time eating Vietnamese.  It was very good and the prices were good too. I expected a larger bill. I had the shrimp and egg rolls. Very good. 
Overall a very nice affordable family restaurant.",review,1HbKFWG5QKzYkuNxig6H7w
484975,484975,0,0,0,MQv-V51biZIm1k1AuAKGmw,yST-L785MrdUSjDP0TRczw,5,12/19/2014,All I have to say is YUM!  Love it!  Had never had Vietnamese food till I went here; I will return & often!,review,c7pNpJMmvRXBpC_8kj76nA
587385,587385,1,2,2,fzu9zwLQJBW8RqoqADOXiw,8WFHSgoOh-KL3IRTBdPxvQ,5,1/30/2011,"I'm not intrinsically drawn to ethnic restaurants that I haven't previously tried.  But Pho Real seemed like a safe bet for tasting Vietnamese food based on the recommendations of co-workers.  I've been twice in the past 3 weeks and I'm equally impressed with the service and food.

On both occasions, I ordered the delicious lemongrass chicken.  It's a sweet and spicy dish with grilled chicken, onions (and lots of 'em), zucchini, carrots, and cauliflower.  This heaping dish is served with clumpy white rice.  The flavor is out of this world!  On the first trip, I ordered a Jasmine tea and on my last trip, a mango-flavored bubble tea.  The bubble tea is more like a smoothie/slushie with tapioca balls at the bottom...yum yum!  I felt like a kid again.  

On both trips, I was promptly seated.  The server was proactive in asking if I had any questions about the dishes and regularly checked on me.  My parents, who had not eaten Vietnamese food previously, joined me for the second visit.  I explained to Hannah, the owner, and she was very gracious in explaining the menu options.  After they decided on pho, she brought out the ""fixings"" (lime, mint leaves, bean sprouts) and suggested how they should enjoy an authentic pho.  No condescension or impatience on Hannah's part, I'm really impressed by that.  

The interior is pretty awesome...green walls and velvet seats. Definitely, a night lounge vibe but none of the pretension.  If you've never eaten Vietnamese food, Pho Real is a nice on-ramp to fulfilling meal...for real. (Ha ha, real pun-ny!!!)",review,x98vOAFB3nBZEirsHwVY3g
597950,597950,0,2,0,fU8oomynW00OC9HZJ8K-qg,Rsi9vPb0ptGGpHt1My5dIA,4,6/19/2010,"My wife and I were looking to go eat some Thai food and searched Yelp for reviews. We spotted Little Saigon and it's great reviews. We have never had Vietnamese food before. We decided to give it a shot.
The place is a cozy little house in Glendale. We were welcomed by the son of the owner and he greeted us like we were family. We were seated promptly and a great meal ensued!
We especially like the veggie fried rolls app. Delicious! The curry chicken dish was good, but the cuts of chicken could've been better.
We will be back and recommend you check this place out!",review,IC8no-tIdDWgkYzb5d-Nvw
597952,597952,0,0,0,NnwfGeM0QSJ2PHpV-hEDkw,-4u7OJielxjvLvLlbcJSKQ,4,7/14/2010,"First time eating Vietnamese Food.  Waiter was delightful and helpful.
Wonderful food, very fresh and healthy! I wish it were closer to Scottsdale!",review,IC8no-tIdDWgkYzb5d-Nvw
597965,597965,1,1,0,WI4DyaHOz9SMhngG83QbNA,TeJz7bWbUY1ed50fKnXl2A,3,1/30/2011,"This was the first time eating Vietnamese food for both my husband and I.  we started with the veggie egg rolls and they were really tasty with lots of veggies to eat with them.  we got a pho that had some meat in it, next time I will get the veggie one.  I ordered the house fried rice by mistake, It was OK kinda greasy and I am not big on meat so I picked around alot.  ordered the pork short ribs with caramelized onions based the the great reviews on here and honestly they  grossed my husband and I out,  he said the smell was repulsive to him and I thought they really smelled like dirty pig.  all in all we enjoyed most of our meal. we will go back because there were other things we wanted to try. there was a guy waiter there and I wish he had served us he was very good at recommending things and explaining the dishes to his tables.",review,IC8no-tIdDWgkYzb5d-Nvw
707233,707233,0,1,1,g9HksjET5kVCDVMavfLn1Q,Lj8_UG93Hh_DQZbTsw371w,4,11/15/2010,I had never had Vietnamese before but I really wanted to try it so on a recommendation from my boss I chose Bamboo Bistro to start. Am i glad I did. The owner came out personally to help our table of newbies and offered to order for us promising we would love it all. Every dish was fresh and served family style so we all got a taste. He showed us how to eat each dish including the technique of dipping with chopsticks. The one dish I knew I had to try was PHO so on my request he whipped it out and it was great. We all left full and in great spirits for the rest of the day it was a great experience and we all are going to return.,review,WzjRM6h6dZFBwr1rvwjvPQ
713706,713706,0,0,0,QDRlK8_pIhRm0NIMevkoUg,#NAME?,4,4/14/2010,"I have never had Vietnamese sandwiches before and this seemed to be the place to go to try it. I was visiting from Chicago not too long ago and was happy to be able to get some authentic Vietnamese fare. I tried the #2 sandwich,cant remember exactly what it had but it was fresh, simple yet very tasty. I also tried the BBQ pork one on another day and was even more impressed. I love that their prices are very affordable. One of these sandwiches beats spending 5-7 dollars at subway any day!!

Oh an another plus, my friends and I who were traveling back to Chicago decided to pick a sandwich up for the plane ride. I ended up not eating it till after landing and the sandwich held up really well throughout the whole day!",review,Ni9aqkG_fNWrH02VNlRhLQ
741772,741772,1,1,0,kos4MkM2h0UAdupVDuTziQ,WW8BrFVhgF2HmZlCXq0P6Q,5,6/14/2007,"I can't believe I have not reviewed this place.  I live just a mile away from this place and I stop there on the way home from work quite often.  The service is great, the food is delicious and when I order to go it is fast and the order is always correct.  I have never had Vietnamese food from any other place so I don't really have anything to compare it to, but I have loved everything I got from here,  even the tripe in my Pho!",review,_HTE4pOKeJC7kcxiCF9vTA
741775,741775,2,3,3,Rt9fD4mPsz4o3Octv97oMw,qgKbJjp_AMbwAmO5_B6xfg,4,1/25/2008,"Never had Vietnamese food before, but I really enjoyed it.  I recommend their specialty drink, its a Ginger Lemonade.  I also HIGHLY recommend their fresh veggie spring rolls with a peanut dipping sauce, I liked these so much I came back 2 days later and order 2 to go, one for dinner and one for lunch, then we had some pork pattie and pickled papaya over some noodles, it was amazing, and very light on the stomach, not to be confused with hunger, I was not hungry still, but I wasn't Hometown Buffet stuffed either. Go!",review,_HTE4pOKeJC7kcxiCF9vTA
826269,826269,0,0,0,UPcwm4P_sI7K13rYCHNBrQ,KEEyGxyDB2xXweT7R53s_Q,4,7/5/2014,"I went here once with a friend. I had never had Vietnamese Cuisine before so I was a bit nervous to tell the truth.

I ordered what my friend ordered because I wasn't sure on what to get. I was so glad I went.(sorry I don't remember the name)

The food was delicious! And I liked trying the food with the different sauces on the table. I haven't been back but I want to. 

Worth a try. Very delicious and there were many veggies so it has to be healthy too right? ;)",review,tqDwpyCB53TiEIv915Tuww
826321,826321,0,0,0,S3UHNa8tV83AHhX9959ruA,_C9vTkbj3Mq---QiTON9VA,3,10/27/2015,"First time eating Vietnamese food.
Tried the Pho Ga, noodle broth with chicken soup. Flavor did not appeal to me, somewhat sweet and different, not salty like a chicken broth. Served with a  plate of basil, cilantro, greens to add to the broth. Slices of chicken in the soup were dry.
Vegetarian spring rolls were tasty but heavily deep fried. Best of all was the coconut dessert with kiwi slices, light and refreshing. Service was good.  I do not plan to try this cuisine again. Had a similar experience with Thai cuisine. Just not for me.",review,tqDwpyCB53TiEIv915Tuww
973791,973791,0,0,1,XTeszUcrcUHaUo66bZmiOQ,5VQJ--6GXFlhATTL3kYlXQ,4,5/29/2015,"I had never had Vietnamese food before, always thought it was some soup type stuff. A friend at work talked me into trying it and I'm glad I did! I ordered the #41 BBQ pork with grilled shrimp rice plate. The BBQ pork was delicious great flavor, the shrimp was a little though and lacking flavor but the plum sauce made up for it. I would definitely eat here again. We ordered the food togo and the service was great!",review,dipzJ5BExpm6BtJ91mXd4Q
978615,978615,0,2,1,qEOUrhX7uhB-9D7uTAKyJg,GoQUgVAWYyChsg0z1W-2IQ,4,10/26/2010,"I drove around the parking lot looking for this place, and thought maybe I was at the wrong shopping center...luckily I found it on the back side.  I'm really glad I didn't give up.

I went in for a late lunch, and it was empty, but I was greeted by the friendly proprietor and seated quickly.  I've never had Vietnamese cuisine before, so with some help from my server, I ordered the large beef combination pho and some spring rolls to start.  The spring rolls were excellent, but once I saw the bowl of noodles, I realized I probably should have skipped them.  The broth was delicious, especially after a little siracha, with plenty of noodles and beef.  I would probably skip the tripe and meatballs next time, but everything else was great.  I was full about half way through, but it tasted so good I had to finish the bowl.

Probably more like 4 1/2 stars, but that's not an option.  I'll definitely be back.",review,bQiAU9rKpdixtFuX0OoRmA
980376,980376,0,2,0,tPKf1o_nKciefH1jYD1vzA,IcdqzUwJ0yTtLmt0FPbpXw,5,1/29/2013,"I've seen this little stainless steel diner cart a few times since we've moved to Vegas and had always wondered what it was. Well, today I finally found out when the hubby and I decided to try it.

I have never had Vietnamese food in my life, so I was a bit apprehensive, but I love trying new things. It looked exactly how you would think a Vietnamese restaurant in a diner cart would look and I absolutely loved it! We started off with the tofu spring rolls that came with peanut sauce and they were delicious. They had a nice crunch to them and the tofu was cooked perfectly. 

Hubby ordered the Vegetarian Pho and it was fantastic! Beautiful-looking and tasty, the broth was very flavourful, and tons of crunchy veggies with rice noodles that were not overcooked like they can normally be. I ordered the Vermicelli with Tofu. Once again, the tofu was cooked perfectly and had very good flavour! The vermicelli were very well cooked too and I loved the Thai basil in this dish especially. 

All in all, a very good experience! Our waitress was very attentive without going overboard with it and she was extremely polite. Very comfortable atmosphere and will be recommending this little gem to others.",review,17FKJgS11HppOf00qXKEqA
1059188,1059188,1,1,0,RyX1dtn2eACiehBSj7rxEw,R_sFKUnBKk1IY8foEd7FRg,1,7/16/2014,"Absolutely disgusted with this restaurant. I was looking up restaurants that had received good reviews in the area & found this one to try. I've never had Vietnamese food so I was really excited. We walked in and were promptly seated. It was really busy which we took as a really good sign. There were some big groups that had come in but the service was still on par - the waitress took our order & it wasn't very long before we got it.

I had ordered the Lat Na & my lunch companion ordered the House Pho'nomenal. The Lat Na was just some chicken, shrimp, & noodles in a sweet sauce ... Nothing flavorful. And I had ordered it at a 2 on a 1-5 scale & it came out pretty spicy. The chicken had a weird taste / smell & the shrimp wasn't much better ... It had the texture of frozen shrimp that had been overcooked. I tried a bite of the Pho & couldn't have much more than that but my companion enjoyed it.

The awful part was that the table was really sticky and there were soup spoons in a holder which I had to pick through 3 of them to find a clean one to use. Also, there were some patrons at a table just next to us who asked to move b/c there were ants all over their table. When we got to the front to pay our bill, we also saw some ants on the counter & there were 2 people who worked there standing right by them who made no effort to clean it up! Additionally, our to-go box was leaking ... Perhaps the ants had bitten through it.

We are definitely not going back!!",review,4zfrcEmGvZ4oYKx_revTxA
1078573,1078573,0,0,0,AZNp2qEdKRkqO7DT2ggaAw,9Rg2QB4HpMQHXeGvb2qwwg,5,1/28/2011,"So I've never had Vietnamese Pho before (pronounced fu, as in fun, without the n) and I decided to try it with a friend of mine who speaks Vietnamese and would be able to tell me what to order and what I was eating and also steer me to the best place in town so I'd have a positive initial Pho experience and want to go back again and again.

unPHOgettable is tucked into an Asian cultural center just south of Main Street on Dobson on the west side of the road and is part of the Asian grocery story, but has it's own entrance and eating area. It had a pretty nice atmosphere, the owner was very helpful and even recognized my friend and his wife as we walked in (I figured they either eat there quite a bit, or the owner remembers him because he doesn't likely see very many tall, geeky, white kids who speak Vietnamese). The menu had a very wide selection and did a decent job of explaining what each of the items are. The owner offered to go over the menu with us, since it was our first time, but my friend told him that he would handle it. The place was pretty clean and the staff was very helpful. My only minor complaint was that there was a minor fish odor in the air, but I wasn't quite sure if it was the restaurant's fish or the adjoining Asian grocery store that had the fishy smell. Either way it wasn't overpowering and didn't detract from our meal at all.

I ordered Pho with thin sliced beef and tendon. I have to admit, that when I looked at the menu, I thought tendon was tenderloin, so I assumed I was ordering thin strips of beef with beef junks. It wasn't until my friend's wife repeated my order with an emphasis on TENDON that I realized what I ordered. Either way though, I'm pretty adventurous so I figured I'd give it a shot. My wife ordered a flat noodle meal instead of the soup since she's had it before. The food didn't take long and we were brought our enormous bowls of Pho with all the trimmings. I added a decent amount of hoisen sauce, and an even more decent amount of hot sauce. The broth in my bowl actually ended up pretty dark red. I added in my bean sprouts, tore up my basil and plopped in my jalapeños to boot. I dug in and was amazed at how great it tasted. I wasn't really amazed that it tasted good, but that it tasted SO good AND I'd never had it before. Why had people kept this a secret from me? It was fantastic and right up my alley. Soup, hot sauce and noodles. I wolfed mine down and even tried my wife's noodle dish, not really enough to give a thorough review, but it was good, and I'd try it again.

The prices weren't bad, I ended up paying about $22 for the two of us to eat our meals and a small appetizer split between 4 people. Range: $7.50 - $12.00.

Sorry for posting without pictures, but I'm sure I'll be back and append some pics to this after my next bowl.

Because of this place, I am now a fan of Vietnamese food, specifically the Pho soup.

Rating: 5.0

http://dietstartstomorrow.com/post/2982603033/unphogettable-mesa",review,mhQCxOiqp03qnhGRTtPduw
1121216,1121216,1,1,1,RbZ40HQyxHgftkBtapfdLA,JlUNb4FRptDfKkXYvweAEQ,5,10/30/2010,"thanks to my fellow yelpers, we visited the vietnam grille today.

i have no point of reference when it comes to viet food, so i went in as a virgin...yay!  we found it very easily and was happy to see the YELP sticker on the door!

since i've never eaten viet food, i had a little trouble with the menu but the server was so sweet and answered all of our questions.  when we ordered the large appetizer where you can make your own spring rolls, she warned us that it was a lot of food, but our stomachs took over and said ""that's okay"".  

well, she wasn't kidding!  it was a lot.  and we ordered other food as well!
my dining partner ordered chicken/shrimp/meatballs and rice.  it looked delicious.  i ordered the pho.  it was excellent!  we even took most of that home because we filled up on the appetizer.

the food is absolutely delicious and i cannot wait to go back to try something else.",review,nPjEhnjfqbno8J2qgTjfPQ
1121217,1121217,0,1,2,cxTh9xxqbs-m8Paq6jAumg,B0asuw4Gtf4sj99OdAEsNQ,4,11/2/2010,"After seeing rave reviews for this place, I had to check it out. I've never had Vietnamese before but love other Asian cuisines so it was time to pop my cherry. In kind of a random location on South Blvd in the Sports and Fitness strip mall along with a Rent A Center and other small shops. If you're driving south on South Blvd, you have to make a u turn at the apartment complex right south of the restaurant and then you will be there. I wasn't sure what to go get but I heard from many that their Pho is great but after a weak lunch, I needed something with more substance and went with the Grilled Beef Bun  I absolutely loved it!! It was so light and flavorful along with all the sauces they provided table side. When it came out, the smell somewhat reminded me of pad thai because of the peanuts. I had the intention of eating half then take the rest home but was starving that I cleaned the plate--the portion was huge and worth every bite! 

I felt like we ordered and BAM the food was out in an instant so that is a huge plus in my world. Kind and attentive staff  with instrumental music (I noticed ""Unbreak My Heart"" and ""Easy Like Sunday Morning"") that was soothing and enjoyable. One of the tables near us had the make your own spring roll sampler and that looked fun with a huge platter of goodies and would love to try that next time because there will DEFINITELY  be a next time with this place (with beer in hand)",review,nPjEhnjfqbno8J2qgTjfPQ
1121225,1121225,1,2,3,whKpnugMnWTz3UjlrN71yg,F7sNxyOEBdoQUxkzsXW2Pw,5,1/24/2011,"Alright...considering I've never had Vietnamese food, I would have to say this is ad good ad it gets! Ha! Went here for some Pho (Fee, fi, Pho, fum?) Not sure if the saying and the good are related...oh wait, I do know...disregard :)

Started with spring rolls which were ultra fresh, followed by the Beef Pho, which comes out ultra hot! I mean hot like put a towel over your head and cure a cold hot! Flavors were amazing, and I look forward to going back. Very unpretentious and the service/owners are so nice!",review,nPjEhnjfqbno8J2qgTjfPQ
1121266,1121266,0,0,0,uP_kbIrdIjnWAR2JnuREDg,2Nn1kS9ohn8nrDwQbQ1I_g,4,1/9/2012,"This was my first time eating Vietnamese food and I wasn't disappointed at all.  My husband ordered an iced coffee and I quickly followed suit.  When it arrived, I was pleasantly surprised by how good it was.  I am used to very strong coffee so when I go out, it's hard to find coffee that I like but this one was simply amazing.  I decided to try the Pho with meat and meatballs and my husband ordered the Pho with meat and tripe.  I loved the basil leaves that they give you to add to your meal and thought the broth was pretty good.  The meat was tasty but the meatballs weren't that great.  If you decide to order the Pho, I would recommend that you try it with something other than the meatballs.  My husband enjoyed his bowl of Pho as well.  We will definitely be going back here sometime soon!",review,nPjEhnjfqbno8J2qgTjfPQ
1121376,1121376,0,0,0,LAV1soRCj9EhK_XWDKEB5g,coOF2E9E880AJIzWVgqvjw,5,11/1/2014,My first time eating Vietnamese food and this was wonderful!   The staff was friendly and very accommodating.  The food was delicious! There were 10 in our party and everyone loved it!,review,nPjEhnjfqbno8J2qgTjfPQ
1121378,1121378,0,0,0,ZnInTYs4BN2BI1d84lrLfQ,SIcxdN0leFE5USKP8jChJQ,4,11/17/2014,"Seafood pho. What can I say? Never had Vietnamese. I consider myself a Korean and Thai connesiur. It's definitely not those. Loved it. Lots of flavor served up piping hot! Not much to look at from road but inside was decently nice.

I would recommend research Vietnamese food before going because I had a hard time with the menu (mostly Vietnamese names)

I don't think it'll let you down!",review,nPjEhnjfqbno8J2qgTjfPQ
1121436,1121436,0,0,0,3tRRa8f3UXmzZEvDBOBe_w,#NAME?,5,12/6/2015,"First time eating Vietnamese.  Very good food, attentive staff. Definitely will come back",review,nPjEhnjfqbno8J2qgTjfPQ
